Dataset,Model,Strategy,Fold,Accuracy,Precision_macro,Recall_macro,F1_macro,Weighted_F1,Class0_Precision,Class0_Recall,Class0_F1,Class0_Support,Class1_Precision,Class1_Recall,Class1_F1,Class1_Support,Classification_Report
GERMEVAL,BERT_GERMAN,DYNAMIC_MIXED,1,0.8228299643281808,0.8051724137931034,0.7920385869977495,0.797779445345469,0.8208834712991188,0.8517241379310345,0.8868940754039497,0.8689533861037819,1114.0,0.7586206896551724,0.6971830985915493,0.726605504587156,568.0,"{""0"": {""precision"": 0.8517241379310345, ""recall"": 0.8868940754039497, ""f1-score"": 0.8689533861037819, ""support"": 1114.0}, ""1"": {""precision"": 0.7586206896551724, ""recall"": 0.6971830985915493, ""f1-score"": 0.726605504587156, ""support"": 568.0}, ""accuracy"": 0.8228299643281808, ""macro avg"": {""precision"": 0.8051724137931034, ""recall"": 0.7920385869977495, ""f1-score"": 0.797779445345469, ""support"": 1682.0}, ""weighted avg"": {""precision"": 0.8202837344704581, ""recall"": 0.8228299643281808, ""f1-score"": 0.8208834712991188, ""support"": 1682.0}}"
GERMEVAL,BERT_GERMAN,DYNAMIC_MIXED,2,0.8198573127229488,0.8007542246541164,0.7910887677952816,0.7954512890101515,0.8183870703306119,0.8529155787641427,0.8797127468581688,0.8661069376933275,1114.0,0.7485928705440901,0.7024647887323944,0.7247956403269755,568.0,"{""0"": {""precision"": 0.8529155787641427, ""recall"": 0.8797127468581688, ""f1-score"": 0.8661069376933275, ""support"": 1114.0}, ""1"": {""precision"": 0.7485928705440901, ""recall"": 0.7024647887323944, ""f1-score"": 0.7247956403269755, ""support"": 568.0}, ""accuracy"": 0.8198573127229488, ""macro avg"": {""precision"": 0.8007542246541164, ""recall"": 0.7910887677952816, ""f1-score"": 0.7954512890101515, ""support"": 1682.0}, ""weighted avg"": {""precision"": 0.8176865072605816, ""recall"": 0.8198573127229488, ""f1-score"": 0.8183870703306119, ""support"": 1682.0}}"
GERMEVAL,BERT_GERMAN,DYNAMIC_MIXED,3,0.8316478286734087,0.8156984831533413,0.8011020552911636,0.8074420826173981,0.8296577589473273,0.8572656921754084,0.8949730700179533,0.8757136583223539,1114.0,0.7741312741312741,0.7072310405643739,0.7391705069124423,567.0,"{""0"": {""precision"": 0.8572656921754084, ""recall"": 0.8949730700179533, ""f1-score"": 0.8757136583223539, ""support"": 1114.0}, ""1"": {""precision"": 0.7741312741312741, ""recall"": 0.7072310405643739, ""f1-score"": 0.7391705069124423, ""support"": 567.0}, ""accuracy"": 0.8316478286734087, ""macro avg"": {""precision"": 0.8156984831533413, ""recall"": 0.8011020552911636, ""f1-score"": 0.8074420826173981, ""support"": 1681.0}, ""weighted avg"": {""precision"": 0.8292245172610573, ""recall"": 0.8316478286734087, ""f1-score"": 0.8296577589473273, ""support"": 1681.0}}"
GERMEVAL,BERT_GERMAN,DYNAMIC_MIXED,4,0.8149910767400357,0.79776145629526,0.7790087043528097,0.7867218610184248,0.8119886273578384,0.8405428329092451,0.8895870736086176,0.8643698211949411,1114.0,0.7549800796812749,0.6684303350970018,0.7090739008419084,567.0,"{""0"": {""precision"": 0.8405428329092451, ""recall"": 0.8895870736086176, ""f1-score"": 0.8643698211949411, ""support"": 1114.0}, ""1"": {""precision"": 0.7549800796812749, ""recall"": 0.6684303350970018, ""f1-score"": 0.7090739008419084, ""support"": 567.0}, ""accuracy"": 0.8149910767400357, ""macro avg"": {""precision"": 0.79776145629526, ""recall"": 0.7790087043528097, ""f1-score"": 0.7867218610184248, ""support"": 1681.0}, ""weighted avg"": {""precision"": 0.8116825824153373, ""recall"": 0.8149910767400357, ""f1-score"": 0.8119886273578384, ""support"": 1681.0}}"
GERMEVAL,BERT_GERMAN,DYNAMIC_MIXED,5,0.8114217727543129,0.7992318907577967,0.7662104703693862,0.7780286813151567,0.8059416181776416,0.8262295081967214,0.9056603773584906,0.864123446206601,1113.0,0.7722342733188721,0.6267605633802817,0.6919339164237124,568.0,"{""0"": {""precision"": 0.8262295081967214, ""recall"": 0.9056603773584906, ""f1-score"": 0.864123446206601, ""support"": 1113.0}, ""1"": {""precision"": 0.7722342733188721, ""recall"": 0.6267605633802817, ""f1-score"": 0.6919339164237124, ""support"": 568.0}, ""accuracy"": 0.8114217727543129, ""macro avg"": {""precision"": 0.7992318907577967, ""recall"": 0.7662104703693862, ""f1-score"": 0.7780286813151567, ""support"": 1681.0}, ""weighted avg"": {""precision"": 0.8079848363284177, ""recall"": 0.8114217727543129, ""f1-score"": 0.8059416181776416, ""support"": 1681.0}}"
GERMEVAL,XLM_ROBERTA,DYNAMIC_MIXED,1,0.807372175980975,0.7901777153814546,0.7678569170859989,0.7766293895926957,0.80352932768244,0.8313758389261745,0.8895870736086176,0.8594969644405898,1114.0,0.7489795918367347,0.6461267605633803,0.6937618147448015,568.0,"{""0"": {""precision"": 0.8313758389261745, ""recall"": 0.8895870736086176, ""f1-score"": 0.8594969644405898, ""support"": 1114.0}, ""1"": {""precision"": 0.7489795918367347, ""recall"": 0.6461267605633803, ""f1-score"": 0.6937618147448015, ""support"": 568.0}, ""accuracy"": 0.807372175980975, ""macro avg"": {""precision"": 0.7901777153814546, ""recall"": 0.7678569170859989, ""f1-score"": 0.7766293895926957, ""support"": 1682.0}, ""weighted avg"": {""precision"": 0.8035511847366372, ""recall"": 0.807372175980975, ""f1-score"": 0.80352932768244, ""support"": 1682.0}}"
GERMEVAL,XLM_ROBERTA,DYNAMIC_MIXED,2,0.8067776456599287,0.7884805960187493,0.7691338786760058,0.7769593932675316,0.8034321831963914,0.8334742180896028,0.8850987432675045,0.8585111014366565,1114.0,0.7434869739478958,0.653169014084507,0.6954076850984068,568.0,"{""0"": {""precision"": 0.8334742180896028, ""recall"": 0.8850987432675045, ""f1-score"": 0.8585111014366565, ""support"": 1114.0}, ""1"": {""precision"": 0.7434869739478958, ""recall"": 0.653169014084507, ""f1-score"": 0.6954076850984068, ""support"": 568.0}, ""accuracy"": 0.8067776456599287, ""macro avg"": {""precision"": 0.7884805960187493, ""recall"": 0.7691338786760058, ""f1-score"": 0.7769593932675316, ""support"": 1682.0}, ""weighted avg"": {""precision"": 0.803086135644603, ""recall"": 0.8067776456599287, ""f1-score"": 0.8034321831963914, ""support"": 1682.0}}"
GERMEVAL,XLM_ROBERTA,DYNAMIC_MIXED,3,0.8143961927424153,0.8043606799704361,0.7673018406112362,0.7802054486814137,0.8084141017754829,0.8260162601626017,0.9120287253141831,0.8668941979522184,1114.0,0.7827050997782705,0.6225749559082893,0.693516699410609,567.0,"{""0"": {""precision"": 0.8260162601626017, ""recall"": 0.9120287253141831, ""f1-score"": 0.8668941979522184, ""support"": 1114.0}, ""1"": {""precision"": 0.7827050997782705, ""recall"": 0.6225749559082893, ""f1-score"": 0.693516699410609, ""support"": 567.0}, ""accuracy"": 0.8143961927424153, ""macro avg"": {""precision"": 0.8043606799704361, ""recall"": 0.7673018406112362, ""f1-score"": 0.7802054486814137, ""support"": 1681.0}, ""weighted avg"": {""precision"": 0.8114074392596179, ""recall"": 0.8143961927424153, ""f1-score"": 0.8084141017754829, ""support"": 1681.0}}"
GERMEVAL,XLM_ROBERTA,DYNAMIC_MIXED,4,0.8042831647828673,0.7857781158228992,0.765300694385075,0.7734669309454849,0.8006548017665305,0.8306655433866892,0.8850987432675045,0.8570186875271621,1114.0,0.7408906882591093,0.6455026455026455,0.6899151743638078,567.0,"{""0"": {""precision"": 0.8306655433866892, ""recall"": 0.8850987432675045, ""f1-score"": 0.8570186875271621, ""support"": 1114.0}, ""1"": {""precision"": 0.7408906882591093, ""recall"": 0.6455026455026455, ""f1-score"": 0.6899151743638078, ""support"": 567.0}, ""accuracy"": 0.8042831647828673, ""macro avg"": {""precision"": 0.7857781158228992, ""recall"": 0.765300694385075, ""f1-score"": 0.7734669309454849, ""support"": 1681.0}, ""weighted avg"": {""precision"": 0.8003845541794686, ""recall"": 0.8042831647828673, ""f1-score"": 0.8006548017665305, ""support"": 1681.0}}"
GERMEVAL,XLM_ROBERTA,DYNAMIC_MIXED,5,0.810232004759072,0.8024132396081254,0.7592773622869291,0.7733636732870486,0.8029997214467134,0.8186195826645265,0.9164420485175202,0.8647732089868588,1113.0,0.7862068965517242,0.602112676056338,0.6819541375872383,568.0,"{""0"": {""precision"": 0.8186195826645265, ""recall"": 0.9164420485175202, ""f1-score"": 0.8647732089868588, ""support"": 1113.0}, ""1"": {""precision"": 0.7862068965517242, ""recall"": 0.602112676056338, ""f1-score"": 0.6819541375872383, ""support"": 568.0}, ""accuracy"": 0.810232004759072, ""macro avg"": {""precision"": 0.8024132396081254, ""recall"": 0.7592773622869291, ""f1-score"": 0.7733636732870486, ""support"": 1681.0}, ""weighted avg"": {""precision"": 0.8076675269167146, ""recall"": 0.810232004759072, ""f1-score"": 0.8029997214467134, ""support"": 1681.0}}"
GERMEVAL,XLM_ROBERTA_LARGE,DYNAMIC_MIXED,1,0.8335315101070154,0.8228003973564757,0.7958030950514577,0.8063665188732616,0.8299095112758483,0.8480801335559266,0.9120287253141831,0.8788927335640139,1114.0,0.7975206611570248,0.6795774647887324,0.7338403041825095,568.0,"{""0"": {""precision"": 0.8480801335559266, ""recall"": 0.9120287253141831, ""f1-score"": 0.8788927335640139, ""support"": 1114.0}, ""1"": {""precision"": 0.7975206611570248, ""recall"": 0.6795774647887324, ""f1-score"": 0.7338403041825095, ""support"": 568.0}, ""accuracy"": 0.8335315101070154, ""macro avg"": {""precision"": 0.8228003973564757, ""recall"": 0.7958030950514577, ""f1-score"": 0.8063665188732616, ""support"": 1682.0}, ""weighted avg"": {""precision"": 0.8310065424010061, ""recall"": 0.8335315101070154, ""f1-score"": 0.8299095112758483, ""support"": 1682.0}}"
GERMEVAL,XLM_ROBERTA_LARGE,DYNAMIC_MIXED,2,0.8299643281807372,0.8161269035532995,0.7952673401269376,0.8038226389487009,0.8270691573863097,0.850253807106599,0.9021543985637342,0.8754355400696864,1114.0,0.782,0.6883802816901409,0.7322097378277154,568.0,"{""0"": {""precision"": 0.850253807106599, ""recall"": 0.9021543985637342, ""f1-score"": 0.8754355400696864, ""support"": 1114.0}, ""1"": {""precision"": 0.782, ""recall"": 0.6883802816901409, ""f1-score"": 0.7322097378277154, ""support"": 568.0}, ""accuracy"": 0.8299643281807372, ""macro avg"": {""precision"": 0.8161269035532995, ""recall"": 0.7952673401269376, ""f1-score"": 0.8038226389487009, ""support"": 1682.0}, ""weighted avg"": {""precision"": 0.8272049590468201, ""recall"": 0.8299643281807372, ""f1-score"": 0.8270691573863097, ""support"": 1682.0}}"
GERMEVAL,XLM_ROBERTA_LARGE,DYNAMIC_MIXED,3,0.8387864366448543,0.8279725492211998,0.8030240422520494,0.8130217514883731,0.8356071405598398,0.853904282115869,0.9129263913824057,0.8824295010845987,1114.0,0.8020408163265306,0.6931216931216931,0.7436140018921475,567.0,"{""0"": {""precision"": 0.853904282115869, ""recall"": 0.9129263913824057, ""f1-score"": 0.8824295010845987, ""support"": 1114.0}, ""1"": {""precision"": 0.8020408163265306, ""recall"": 0.6931216931216931, ""f1-score"": 0.7436140018921475, ""support"": 567.0}, ""accuracy"": 0.8387864366448543, ""macro avg"": {""precision"": 0.8279725492211998, ""recall"": 0.8030240422520494, ""f1-score"": 0.8130217514883731, ""support"": 1681.0}, ""weighted avg"": {""precision"": 0.8364107752136947, ""recall"": 0.8387864366448543, ""f1-score"": 0.8356071405598398, ""support"": 1681.0}}"
GERMEVAL,XLM_ROBERTA_LARGE,DYNAMIC_MIXED,4,0.816775728732897,0.7971571276508638,0.7872832223520434,0.7917237894791043,0.8152287822266595,0.8504347826086956,0.8779174147217235,0.8639575971731449,1114.0,0.743879472693032,0.6966490299823633,0.7194899817850637,567.0,"{""0"": {""precision"": 0.8504347826086956, ""recall"": 0.8779174147217235, ""f1-score"": 0.8639575971731449, ""support"": 1114.0}, ""1"": {""precision"": 0.743879472693032, ""recall"": 0.6966490299823633, ""f1-score"": 0.7194899817850637, ""support"": 567.0}, ""accuracy"": 0.816775728732897, ""macro avg"": {""precision"": 0.7971571276508638, ""recall"": 0.7872832223520434, ""f1-score"": 0.7917237894791043, ""support"": 1681.0}, ""weighted avg"": {""precision"": 0.8144937589786057, ""recall"": 0.816775728732897, ""f1-score"": 0.8152287822266595, ""support"": 1681.0}}"
GERMEVAL,XLM_ROBERTA_LARGE,DYNAMIC_MIXED,5,0.834622248661511,0.8273900987301083,0.7932136846234641,0.8058626958330841,0.8300882851553293,0.8436213991769548,0.9209344115004492,0.8805841924398625,1113.0,0.8111587982832618,0.6654929577464789,0.7311411992263056,568.0,"{""0"": {""precision"": 0.8436213991769548, ""recall"": 0.9209344115004492, ""f1-score"": 0.8805841924398625, ""support"": 1113.0}, ""1"": {""precision"": 0.8111587982832618, ""recall"": 0.6654929577464789, ""f1-score"": 0.7311411992263056, ""support"": 568.0}, ""accuracy"": 0.834622248661511, ""macro avg"": {""precision"": 0.8273900987301083, ""recall"": 0.7932136846234641, ""f1-score"": 0.8058626958330841, ""support"": 1681.0}, ""weighted avg"": {""precision"": 0.8326524775186457, ""recall"": 0.834622248661511, ""f1-score"": 0.8300882851553293, ""support"": 1681.0}}"
HASOC,GBERT,DYNAMIC_MIXED,1,0.8922742110990207,0.8053611199490932,0.5657453075763803,0.587314763155388,0.858690069363456,0.8964365256124721,0.9926017262638718,0.9420713867758923,811.0,0.7142857142857143,0.1388888888888889,0.23255813953488372,108.0,"{""0"": {""precision"": 0.8964365256124721, ""recall"": 0.9926017262638718, ""f1-score"": 0.9420713867758923, ""support"": 811.0}, ""1"": {""precision"": 0.7142857142857143, ""recall"": 0.1388888888888889, ""f1-score"": 0.23255813953488372, ""support"": 108.0}, ""accuracy"": 0.8922742110990207, ""macro avg"": {""precision"": 0.8053611199490932, ""recall"": 0.5657453075763803, ""f1-score"": 0.587314763155388, ""support"": 919.0}, ""weighted avg"": {""precision"": 0.8750303366861502, ""recall"": 0.8922742110990207, ""f1-score"": 0.858690069363456, ""support"": 919.0}}"
HASOC,GBERT,DYNAMIC_MIXED,2,0.8900979325353645,0.7465137706061059,0.6121248159474459,0.6441876066164491,0.8698199868116844,0.9060710194730813,0.9765432098765432,0.9399881164587047,810.0,0.5869565217391305,0.24770642201834864,0.34838709677419355,109.0,"{""0"": {""precision"": 0.9060710194730813, ""recall"": 0.9765432098765432, ""f1-score"": 0.9399881164587047, ""support"": 810.0}, ""1"": {""precision"": 0.5869565217391305, ""recall"": 0.24770642201834864, ""f1-score"": 0.34838709677419355, ""support"": 109.0}, ""accuracy"": 0.8900979325353645, ""macro avg"": {""precision"": 0.7465137706061059, ""recall"": 0.6121248159474459, ""f1-score"": 0.6441876066164491, ""support"": 919.0}, ""weighted avg"": {""precision"": 0.8682217482511002, ""recall"": 0.8900979325353645, ""f1-score"": 0.8698199868116844, ""support"": 919.0}}"
HASOC,GBERT,DYNAMIC_MIXED,3,0.8988030467899891,0.8816509577379142,0.5853041114509004,0.6177973946524637,0.8677783110844501,0.8996655518394648,0.9962962962962963,0.945518453427065,810.0,0.8636363636363636,0.1743119266055046,0.2900763358778626,109.0,"{""0"": {""precision"": 0.8996655518394648, ""recall"": 0.9962962962962963, ""f1-score"": 0.945518453427065, ""support"": 810.0}, ""1"": {""precision"": 0.8636363636363636, ""recall"": 0.1743119266055046, ""f1-score"": 0.2900763358778626, ""support"": 109.0}, ""accuracy"": 0.8988030467899891, ""macro avg"": {""precision"": 0.8816509577379142, ""recall"": 0.5853041114509004, ""f1-score"": 0.6177973946524637, ""support"": 919.0}, ""weighted avg"": {""precision"": 0.8953922313670621, ""recall"": 0.8988030467899891, ""f1-score"": 0.8677783110844501, ""support"": 919.0}}"
