Model,Dataset,Strategy,N,Accuracy,Precision_macro,Recall_macro,F1_macro,Weighted_F1,Class0_Precision,Class0_Recall,Class0_F1,Class0_Support,Class1_Precision,Class1_Recall,Class1_F1,Class1_Support
xlm-roberta-large-xnli,HASOC,PER_ONLY,4594,0.7427078798432738,0.5391715876012804,0.5638623207874917,0.5389586616312557,0.7729967289160492,0.898804559355018,0.7980745494939521,0.8454497907949791,4051.0,0.17953861584754263,0.3296500920810313,0.23246753246753246,543.0
xlm-roberta-large-xnli,HASOC,ORG_ONLY,4594,0.7403134523291249,0.5354299354170434,0.5577203273365874,0.5344266060676646,0.7708426639024282,0.8971650917176209,0.7968402863490496,0.8440318995947182,4051.0,0.17369477911646586,0.31860036832412525,0.22482131254061077,543.0
xlm-roberta-large-xnli,HASOC,LOC_ONLY,4594,0.7368306486721811,0.5351296901851681,0.5581376583004992,0.5334903387414498,0.7686758999801592,0.8973713646532439,0.7921500863984201,0.8414842008653468,4051.0,0.17288801571709234,0.3241252302025783,0.22549647661755284,543.0
xlm-roberta-large-xnli,HASOC,PER_ORG_LOC_TYPED,4594,0.7457553330430997,0.5326334673824575,0.5512373772158206,0.5321898305321177,0.7735518739626992,0.8952563751028242,0.805973833621328,0.8482722785138997,4051.0,0.1700105596620908,0.2965009208103131,0.21610738255033557,543.0
xlm-roberta-large-xnli,HASOC,X_LENGTH,4594,0.696343056160209,0.5301125489187877,0.5575071157657,0.5186965529128275,0.7419799400112919,0.8983203359328135,0.7393236237965934,0.8111035883547731,4051.0,0.1619047619047619,0.3756906077348066,0.22628951747088186,543.0
xlm-roberta-large-xnli,HASOC,RANDOM_SUBSTITUTION,4594,0.718110579016108,0.5283918246604814,0.5499151472500935,0.5223556454231935,0.7558504795081796,0.8955223880597015,0.7701802024191557,0.8281353682813537,4051.0,0.16126126126126125,0.3296500920810313,0.21657592256503327,543.0
xlm-roberta-large-xnli,GAHD,UNMASKED,10995,0.5618008185538881,0.5211071903360625,0.5122065831989948,0.47563654826001,0.507786241214625,0.5828126712704155,0.8401011218201928,0.6881957028216412,6329.0,0.4594017094017094,0.18431204457779682,0.26307739369837874,4666.0
xlm-roberta-large-xnli,GAHD,PER_ORG_LOC_GENERIC_ENTITY,10995,0.5633469758981355,0.5227195107181786,0.5127049050706316,0.4738813359358836,0.5066959277438291,0.5830434782608696,0.8475272554905988,0.690836499452637,6329.0,0.4623955431754875,0.17788255465066438,0.2569261724191302,4666.0
xlm-roberta-large-xnli,GAHD,PER_ONLY,10995,0.56243747157799,0.5215219372283055,0.5121964582846418,0.4742063907214672,0.5067837191993529,0.5827699018538713,0.844367198609575,0.6895928769598039,6329.0,0.4602739726027397,0.18002571795970854,0.25881990448313047,4666.0
xlm-roberta-large-xnli,GAHD,ORG_ONLY,10995,0.5610732150977717,0.5191732508803442,0.5108988099805514,0.4728971602774041,0.5055048496628325,0.5820146240314308,0.8426291673250118,0.6884843790343403,6329.0,0.45633187772925765,0.17916845263609088,0.2573099415204678,4666.0
